,alpha,beta
0,2.6333617834718715e-06,0.0001
1,2.6333617834718715e-06,0.2105842105263158
2,1.8742039366662617e-05,0.05272105263157895
3,1.3690156816728806e-06,0.2105842105263158
4,1.8742039366662617e-05,0.2105842105263158
5,9.74349440344024e-06,0.1053421052631579
6,1.8742039366662617e-05,0.05272105263157895
7,5.065387033533725e-06,0.4210684210526316
8,5.065387033533725e-06,0.0001
9,2.6333617834718715e-06,0.2632052631578947
10,2.6333617834718715e-06,0.2632052631578947
11,9.74349440344024e-06,0.2105842105263158
12,1.8742039366662617e-05,0.2105842105263158
13,5.065387033533725e-06,0.6315526315789474
14,1.8742039366662617e-05,0.0001
15,1.3690156816728806e-06,0.1053421052631579
16,2.6333617834718715e-06,0.2105842105263158
17,9.74349440344024e-06,0.1053421052631579
18,5.065387033533725e-06,0.0001
19,5.065387033533725e-06,0.1053421052631579
20,5.065387033533725e-06,0.2632052631578947
21,9.74349440344024e-06,0.15796315789473686
22,9.74349440344024e-06,0.15796315789473686
23,9.74349440344024e-06,0.05272105263157895
24,1.8742039366662617e-05,0.15796315789473686
25,1.8742039366662617e-05,0.36844736842105263
26,9.74349440344024e-06,0.1053421052631579
27,1.8742039366662617e-05,0.1053421052631579
28,5.065387033533725e-06,0.1053421052631579
29,5.065387033533725e-06,0.05272105263157895
30,3.605113577091056e-05,0.2105842105263158
31,5.065387033533725e-06,0.3158263157894737
32,9.74349440344024e-06,0.15796315789473686
33,1.8742039366662617e-05,0.15796315789473686
34,9.74349440344024e-06,0.15796315789473686
