,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,alpha,beta
118,118,exp_decay,,leitner,0,34,0.025000000000000005,0.2632052631578947
119,119,exp_decay,,leitner,0,31,0.025000000000000005,0.2105842105263158
120,120,exp_decay,,leitner,15,47,0.025000000000000005,0.5263105263157895
121,121,exp_decay,,leitner,0,43,0.007268138009071234,0.36844736842105263
122,122,exp_decay,,leitner,47,54,0.007268138009071234,0.6841736842105264
123,123,exp_decay,,leitner,36,55,5.192252346839353e-05,0.3158263157894737
124,124,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.9472789473684211
125,125,exp_decay,,leitner,56,58,5.192252346839353e-05,0.6315526315789474
126,126,exp_decay,,leitner,58,58,6.879341027591355e-07,0.2105842105263158
127,127,exp_decay,,leitner,59,59,6.879341027591355e-07,0.5263105263157895
128,128,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.1053421052631579
129,129,exp_decay,,leitner,42,56,1.5095202653901002e-05,0.2632052631578947
130,130,exp_decay,,leitner,57,58,1.5095202653901002e-05,0.5789315789473685
131,131,exp_decay,,leitner,59,59,2.7996089263633432e-05,0.9999
132,132,exp_decay,,leitner,58,58,2.366266648695089e-06,0.36844736842105263
133,133,exp_decay,,leitner,59,59,2.366266648695089e-06,0.6841736842105264
134,134,exp_decay,,leitner,55,58,0.00017859637297609765,0.6841736842105264
135,135,exp_decay,,leitner,29,52,0.00017859637297609765,0.36844736842105263
136,136,exp_decay,,leitner,0,40,0.00033123106159213214,0.0001
137,137,exp_decay,,leitner,55,58,0.00033123106159213214,0.7367947368421053
138,138,exp_decay,,leitner,23,52,0.0006143126779967382,0.4210684210526316
139,139,exp_decay,,leitner,0,41,0.001139325715811698,0.15796315789473683
140,140,exp_decay,,leitner,57,58,0.001139325715811698,0.8946578947368421
141,141,exp_decay,,leitner,58,59,8.139177619294628e-06,0.8420368421052632
142,142,exp_decay,,leitner,0,55,8.139177619294628e-06,0.1053421052631579
143,143,exp_decay,,leitner,59,59,3.709269746888559e-07,0.8946578947368421
144,144,exp_decay,,leitner,58,58,3.709269746888559e-07,0.15796315789473683
145,145,exp_decay,,leitner,50,57,0.003918905070286655,0.7367947368421053
146,146,exp_decay,,leitner,0,7,0.003918905070286655,0.0001
147,147,exp_decay,,leitner,11,48,0.0021130332047562435,0.4210684210526316
148,148,exp_decay,,leitner,25,51,0.0021130332047562435,0.47368947368421055
149,149,exp_decay,,leitner,0,18,0.003918905070286655,0.05272105263157895
150,150,exp_decay,,leitner,52,57,0.003918905070286655,0.7894157894736843
151,151,exp_decay,,leitner,58,58,3.709269746888559e-07,0.1053421052631579
152,152,exp_decay,,leitner,59,59,3.709269746888559e-07,0.8420368421052632
153,153,exp_decay,,leitner,18,56,8.139177619294628e-06,0.15796315789473683
154,154,exp_decay,,leitner,59,59,8.139177619294628e-06,0.8946578947368421
155,155,exp_decay,,leitner,56,58,0.001139325715811698,0.8420368421052632
156,156,exp_decay,,leitner,0,40,0.001139325715811698,0.1053421052631579
157,157,exp_decay,,leitner,38,53,0.0006143126779967382,0.47368947368421055
158,158,exp_decay,,leitner,56,58,0.00033123106159213214,0.7894157894736843
159,159,exp_decay,,leitner,0,41,0.00033123106159213214,0.05272105263157895
160,160,exp_decay,,leitner,57,58,0.00033123106159213214,0.8946578947368421
161,161,exp_decay,,leitner,0,43,0.00033123106159213214,0.15796315789473683
162,162,exp_decay,,leitner,52,57,0.001139325715811698,0.7367947368421053
163,163,exp_decay,,leitner,0,19,0.001139325715811698,0.0001
164,164,exp_decay,,leitner,0,53,8.139177619294628e-06,0.05272105263157895
165,165,exp_decay,,leitner,58,59,8.139177619294628e-06,0.7894157894736843
166,166,exp_decay,,leitner,58,59,4.388560646538035e-06,0.47368947368421055
167,167,exp_decay,,leitner,58,58,3.709269746888559e-07,0.0001
168,168,exp_decay,,leitner,59,59,3.709269746888559e-07,0.7367947368421053
169,169,exp_decay,,leitner,0,36,0.003918905070286655,0.15796315789473683
170,170,exp_decay,,leitner,56,58,0.003918905070286655,0.8946578947368421
171,171,exp_decay,,leitner,55,57,0.003918905070286655,0.8420368421052632
172,172,exp_decay,,leitner,0,27,0.003918905070286655,0.1053421052631579
173,173,exp_decay,,leitner,59,59,3.709269746888559e-07,0.7894157894736843
174,174,exp_decay,,leitner,58,58,3.709269746888559e-07,0.05272105263157895
175,175,exp_decay,,leitner,57,58,4.388560646538035e-06,0.4210684210526316
176,176,exp_decay,,leitner,58,59,8.139177619294628e-06,0.7367947368421053
177,177,exp_decay,,leitner,0,51,8.139177619294628e-06,0.0001
178,178,exp_decay,,leitner,0,38,0.001139325715811698,0.05272105263157895
179,179,exp_decay,,leitner,55,57,0.001139325715811698,0.7894157894736843
180,180,exp_decay,,leitner,0,42,0.00033123106159213214,0.1053421052631579
181,181,exp_decay,,leitner,57,58,0.00033123106159213214,0.8420368421052632
182,182,exp_decay,,leitner,53,57,0.00033123106159213214,0.6315526315789474
183,183,exp_decay,,leitner,2,49,0.00033123106159213214,0.3158263157894737
184,184,exp_decay,,leitner,47,54,0.001139325715811698,0.5789315789473685
185,185,exp_decay,,leitner,0,43,0.001139325715811698,0.2632052631578947
186,186,exp_decay,,leitner,59,59,4.388560646538035e-06,0.9472789473684211
187,187,exp_decay,,leitner,41,57,8.139177619294628e-06,0.2105842105263158
188,188,exp_decay,,leitner,57,59,8.139177619294628e-06,0.5263105263157895
189,189,exp_decay,,leitner,59,59,3.709269746888559e-07,0.2632052631578947
190,190,exp_decay,,leitner,59,59,3.709269746888559e-07,0.5789315789473685
191,191,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.9999
192,192,exp_decay,,leitner,0,42,0.003918905070286655,0.3158263157894737
193,193,exp_decay,,leitner,42,53,0.003918905070286655,0.6315526315789474
194,194,exp_decay,,leitner,49,55,0.003918905070286655,0.6841736842105264
195,195,exp_decay,,leitner,0,45,0.003918905070286655,0.36844736842105263
196,196,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.9472789473684211
197,197,exp_decay,,leitner,59,59,3.709269746888559e-07,0.5263105263157895
198,198,exp_decay,,leitner,59,59,3.709269746888559e-07,0.2105842105263158
199,199,exp_decay,,leitner,57,59,8.139177619294628e-06,0.5789315789473685
200,200,exp_decay,,leitner,49,57,8.139177619294628e-06,0.2632052631578947
201,201,exp_decay,,leitner,59,59,4.388560646538035e-06,0.9999
202,202,exp_decay,,leitner,0,42,0.001139325715811698,0.2105842105263158
203,203,exp_decay,,leitner,38,53,0.001139325715811698,0.5263105263157895
204,204,exp_decay,,leitner,18,51,0.00033123106159213214,0.36844736842105263
205,205,exp_decay,,leitner,55,57,0.00033123106159213214,0.6841736842105264
206,206,exp_decay,,leitner,59,59,0.0006143126779967382,0.9999
207,207,exp_decay,,leitner,0,46,0.00033123106159213214,0.2632052631578947
208,208,exp_decay,,leitner,50,56,0.00033123106159213214,0.5789315789473685
209,209,exp_decay,,leitner,0,45,0.001139325715811698,0.3158263157894737
210,210,exp_decay,,leitner,48,55,0.001139325715811698,0.6315526315789474
211,211,exp_decay,,leitner,58,59,8.139177619294628e-06,0.6841736842105264
212,212,exp_decay,,leitner,55,58,8.139177619294628e-06,0.36844736842105263
213,213,exp_decay,,leitner,59,59,3.709269746888559e-07,0.6315526315789474
214,214,exp_decay,,leitner,59,59,3.709269746888559e-07,0.3158263157894737
215,215,exp_decay,,leitner,59,59,0.0021130332047562435,0.9999
216,216,exp_decay,,leitner,39,53,0.003918905070286655,0.5789315789473685
217,217,exp_decay,,leitner,0,41,0.003918905070286655,0.2632052631578947
218,218,exp_decay,,leitner,0,39,0.003918905070286655,0.2105842105263158
219,219,exp_decay,,leitner,33,51,0.003918905070286655,0.5263105263157895
220,220,exp_decay,,leitner,57,58,0.0021130332047562435,0.9472789473684211
221,221,exp_decay,,leitner,59,59,3.709269746888559e-07,0.36844736842105263
222,222,exp_decay,,leitner,59,59,3.709269746888559e-07,0.6841736842105264
223,223,exp_decay,,leitner,55,57,8.139177619294628e-06,0.3158263157894737
224,224,exp_decay,,leitner,58,59,8.139177619294628e-06,0.6315526315789474
225,225,exp_decay,,leitner,52,57,0.001139325715811698,0.6841736842105264
226,226,exp_decay,,leitner,6,48,0.001139325715811698,0.36844736842105263
227,227,exp_decay,,leitner,46,56,0.00033123106159213214,0.5263105263157895
228,228,exp_decay,,leitner,0,45,0.00033123106159213214,0.2105842105263158
229,229,exp_decay,,leitner,57,58,0.0006143126779967382,0.9472789473684211
230,230,exp_decay,,leitner,0,39,0.0006143126779967382,0.05272105263157895
231,231,exp_decay,,leitner,56,58,0.0006143126779967382,0.7894157894736843
232,232,exp_decay,,leitner,43,54,0.00033123106159213214,0.47368947368421055
233,233,exp_decay,,leitner,59,59,4.388560646538035e-06,0.8946578947368421
234,234,exp_decay,,leitner,46,57,4.388560646538035e-06,0.15796315789473683
235,235,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.8420368421052632
236,236,exp_decay,,leitner,54,57,0.0021130332047562435,0.7894157894736843
237,237,exp_decay,,leitner,0,21,0.0021130332047562435,0.05272105263157895
238,238,exp_decay,,leitner,23,49,0.003918905070286655,0.47368947368421055
239,239,exp_decay,,leitner,8,47,0.003918905070286655,0.4210684210526316
240,240,exp_decay,,leitner,0,9,0.0021130332047562435,0.0001
241,241,exp_decay,,leitner,52,57,0.0021130332047562435,0.7367947368421053
242,242,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.8946578947368421
243,243,exp_decay,,leitner,15,57,4.388560646538035e-06,0.1053421052631579
244,244,exp_decay,,leitner,59,59,4.388560646538035e-06,0.8420368421052632
245,245,exp_decay,,leitner,30,52,0.00033123106159213214,0.4210684210526316
246,246,exp_decay,,leitner,55,57,0.0006143126779967382,0.7367947368421053
247,247,exp_decay,,leitner,0,30,0.0006143126779967382,0.0001
248,248,exp_decay,,leitner,57,58,0.0006143126779967382,0.8420368421052632
249,249,exp_decay,,leitner,0,41,0.0006143126779967382,0.1053421052631579
250,250,exp_decay,,leitner,30,52,0.001139325715811698,0.47368947368421055
251,251,exp_decay,,leitner,0,54,4.388560646538035e-06,0.0001
252,252,exp_decay,,leitner,59,59,4.388560646538035e-06,0.7367947368421053
253,253,exp_decay,,leitner,56,58,8.139177619294628e-06,0.4210684210526316
254,254,exp_decay,,leitner,59,59,3.709269746888559e-07,0.47368947368421055
255,255,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.7894157894736843
256,256,exp_decay,,leitner,0,37,0.0021130332047562435,0.1053421052631579
257,257,exp_decay,,leitner,55,58,0.0021130332047562435,0.8420368421052632
258,258,exp_decay,,leitner,57,58,0.0021130332047562435,0.8946578947368421
259,259,exp_decay,,leitner,0,40,0.0021130332047562435,0.15796315789473683
260,260,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.7367947368421053
261,261,exp_decay,,leitner,59,59,3.709269746888559e-07,0.4210684210526316
262,262,exp_decay,,leitner,57,58,8.139177619294628e-06,0.47368947368421055
263,263,exp_decay,,leitner,59,59,4.388560646538035e-06,0.7894157894736843
264,264,exp_decay,,leitner,0,56,4.388560646538035e-06,0.05272105263157895
265,265,exp_decay,,leitner,19,49,0.001139325715811698,0.4210684210526316
266,266,exp_decay,,leitner,0,42,0.0006143126779967382,0.15796315789473683
267,267,exp_decay,,leitner,57,58,0.0006143126779967382,0.8946578947368421
268,268,exp_decay,,leitner,53,57,0.0006143126779967382,0.6841736842105264
269,269,exp_decay,,leitner,12,50,0.0006143126779967382,0.36844736842105263
270,270,exp_decay,,leitner,57,58,0.001139325715811698,0.9472789473684211
271,271,exp_decay,,leitner,59,59,8.139177619294628e-06,0.9999
272,272,exp_decay,,leitner,54,58,4.388560646538035e-06,0.2632052631578947
273,273,exp_decay,,leitner,58,59,4.388560646538035e-06,0.5789315789473685
274,274,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.5263105263157895
275,275,exp_decay,,leitner,59,59,3.709269746888559e-07,0.9472789473684211
276,276,exp_decay,,leitner,1,46,0.0021130332047562435,0.36844736842105263
277,277,exp_decay,,leitner,49,56,0.0021130332047562435,0.6841736842105264
278,278,exp_decay,,leitner,48,54,0.0021130332047562435,0.6315526315789474
279,279,exp_decay,,leitner,0,44,0.0021130332047562435,0.3158263157894737
280,280,exp_decay,,leitner,59,59,3.709269746888559e-07,0.9999
281,281,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.5789315789473685
282,282,exp_decay,,leitner,58,59,4.388560646538035e-06,0.5263105263157895
283,283,exp_decay,,leitner,53,57,4.388560646538035e-06,0.2105842105263158
284,284,exp_decay,,leitner,59,59,8.139177619294628e-06,0.9472789473684211
285,285,exp_decay,,leitner,59,59,0.001139325715811698,0.9999
286,286,exp_decay,,leitner,1,48,0.0006143126779967382,0.3158263157894737
287,287,exp_decay,,leitner,49,56,0.0006143126779967382,0.6315526315789474
288,288,exp_decay,,leitner,58,58,0.00033123106159213214,0.9472789473684211
289,289,exp_decay,,leitner,0,43,0.0006143126779967382,0.2105842105263158
290,290,exp_decay,,leitner,43,54,0.0006143126779967382,0.5263105263157895
291,291,exp_decay,,leitner,58,59,4.388560646538035e-06,0.6315526315789474
292,292,exp_decay,,leitner,56,58,4.388560646538035e-06,0.3158263157894737
293,293,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.6841736842105264
294,294,exp_decay,,leitner,57,58,0.003918905070286655,0.9472789473684211
295,295,exp_decay,,leitner,39,52,0.0021130332047562435,0.5263105263157895
296,296,exp_decay,,leitner,0,40,0.0021130332047562435,0.2105842105263158
297,297,exp_decay,,leitner,0,42,0.0021130332047562435,0.2632052631578947
298,298,exp_decay,,leitner,43,53,0.0021130332047562435,0.5789315789473685
299,299,exp_decay,,leitner,59,59,0.003918905070286655,0.9999
300,300,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.6315526315789474
301,301,exp_decay,,leitner,57,58,4.388560646538035e-06,0.36844736842105263
302,302,exp_decay,,leitner,58,59,4.388560646538035e-06,0.6841736842105264
303,303,exp_decay,,leitner,48,55,0.0006143126779967382,0.5789315789473685
304,304,exp_decay,,leitner,0,45,0.0006143126779967382,0.2632052631578947
305,305,exp_decay,,leitner,59,59,0.00033123106159213214,0.9999
306,306,exp_decay,,leitner,0,44,9.629732274171165e-05,0.1053421052631579
307,307,exp_decay,,leitner,57,58,9.629732274171165e-05,0.8420368421052632
308,308,exp_decay,,leitner,57,59,2.7996089263633432e-05,0.7367947368421053
309,309,exp_decay,,leitner,0,44,2.7996089263633432e-05,0.0001
310,310,exp_decay,,leitner,55,58,1.5095202653901002e-05,0.4210684210526316
311,311,exp_decay,,leitner,59,59,6.879341027591355e-07,0.47368947368421055
312,312,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.7894157894736843
313,313,exp_decay,,leitner,57,57,1.2758665776086956e-06,0.05272105263157895
314,314,exp_decay,,leitner,52,57,0.013479742216629382,0.8420368421052632
315,315,exp_decay,,leitner,0,13,0.013479742216629382,0.1053421052631579
316,316,exp_decay,,leitner,7,45,0.025000000000000005,0.47368947368421055
317,317,exp_decay,,leitner,0,42,0.025000000000000005,0.4210684210526316
318,318,exp_decay,,leitner,0,27,0.013479742216629382,0.15796315789473683
319,319,exp_decay,,leitner,55,57,0.013479742216629382,0.8946578947368421
320,320,exp_decay,,leitner,0,57,1.2758665776086956e-06,0.0001
321,321,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.7367947368421053
322,322,exp_decay,,leitner,59,59,6.879341027591355e-07,0.4210684210526316
323,323,exp_decay,,leitner,56,58,1.5095202653901002e-05,0.47368947368421055
324,324,exp_decay,,leitner,0,47,2.7996089263633432e-05,0.05272105263157895
325,325,exp_decay,,leitner,57,59,2.7996089263633432e-05,0.7894157894736843
326,326,exp_decay,,leitner,58,59,9.629732274171165e-05,0.8946578947368421
327,327,exp_decay,,leitner,0,46,9.629732274171165e-05,0.15796315789473683
328,328,exp_decay,,leitner,57,58,9.629732274171165e-05,0.7894157894736843
329,329,exp_decay,,leitner,0,42,9.629732274171165e-05,0.05272105263157895
330,330,exp_decay,,leitner,48,55,0.00017859637297609765,0.47368947368421055
331,331,exp_decay,,leitner,0,52,2.7996089263633432e-05,0.15796315789473683
332,332,exp_decay,,leitner,58,59,2.366266648695089e-06,0.47368947368421055
333,333,exp_decay,,leitner,58,59,2.7996089263633432e-05,0.8946578947368421
334,334,exp_decay,,leitner,58,58,1.2758665776086956e-06,0.1053421052631579
335,335,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.8420368421052632
336,336,exp_decay,,leitner,49,56,5.192252346839353e-05,0.4210684210526316
337,337,exp_decay,,leitner,0,8,0.013479742216629382,0.05272105263157895
338,338,exp_decay,,leitner,52,56,0.013479742216629382,0.7894157894736843
339,339,exp_decay,,leitner,14,49,0.007268138009071234,0.47368947368421055
340,340,exp_decay,,leitner,6,45,0.007268138009071234,0.4210684210526316
341,341,exp_decay,,leitner,47,54,0.013479742216629382,0.7367947368421053
342,342,exp_decay,,leitner,0,2,0.013479742216629382,0.0001
343,343,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.8946578947368421
344,344,exp_decay,,leitner,52,57,5.192252346839353e-05,0.47368947368421055
345,345,exp_decay,,leitner,58,58,1.2758665776086956e-06,0.15796315789473683
346,346,exp_decay,,leitner,58,59,2.366266648695089e-06,0.4210684210526316
347,347,exp_decay,,leitner,58,59,2.7996089263633432e-05,0.8420368421052632
348,348,exp_decay,,leitner,0,49,2.7996089263633432e-05,0.1053421052631579
349,349,exp_decay,,leitner,37,53,0.00017859637297609765,0.4210684210526316
350,350,exp_decay,,leitner,0,42,9.629732274171165e-05,0.0001
351,351,exp_decay,,leitner,56,58,9.629732274171165e-05,0.7367947368421053
352,352,exp_decay,,leitner,58,59,0.00017859637297609765,0.9472789473684211
353,353,exp_decay,,leitner,53,57,9.629732274171165e-05,0.5263105263157895
354,354,exp_decay,,leitner,0,49,9.629732274171165e-05,0.2105842105263158
355,355,exp_decay,,leitner,59,59,2.366266648695089e-06,0.9472789473684211
356,356,exp_decay,,leitner,41,56,2.7996089263633432e-05,0.3158263157894737
357,357,exp_decay,,leitner,56,58,2.7996089263633432e-05,0.6315526315789474
358,358,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.36844736842105263
359,359,exp_decay,,leitner,59,59,5.192252346839353e-05,0.9999
360,360,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.6841736842105264
361,361,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.47368947368421055
362,362,exp_decay,,leitner,57,58,0.007268138009071234,0.9472789473684211
363,363,exp_decay,,leitner,0,35,0.013479742216629382,0.2105842105263158
