,alpha,beta
0,1e-07,0.0001
1,1e-07,0.05272105263157895
2,1e-07,0.1053421052631579
3,1e-07,0.15796315789473683
4,1e-07,0.2105842105263158
5,1e-07,0.2632052631578947
6,1e-07,0.3158263157894737
7,1e-07,0.36844736842105263
8,1e-07,0.4210684210526316
9,1e-07,0.47368947368421055
10,1e-07,0.5263105263157895
11,1e-07,0.5789315789473685
12,1e-07,0.6315526315789474
13,1e-07,0.6841736842105264
14,1e-07,0.7367947368421053
15,1e-07,0.7894157894736843
16,1e-07,0.8420368421052632
17,1e-07,0.8946578947368421
18,1e-07,0.9472789473684211
19,1e-07,0.9999
20,1.9235439145985622e-07,0.0001
21,1.9235439145985622e-07,0.05272105263157895
22,1.9235439145985622e-07,0.1053421052631579
23,1.9235439145985622e-07,0.15796315789473683
24,1.9235439145985622e-07,0.2105842105263158
25,1.9235439145985622e-07,0.2632052631578947
26,1.9235439145985622e-07,0.3158263157894737
27,1.9235439145985622e-07,0.36844736842105263
28,1.9235439145985622e-07,0.4210684210526316
29,1.9235439145985622e-07,0.47368947368421055
30,1.9235439145985622e-07,0.5263105263157895
31,1.9235439145985622e-07,0.5789315789473685
32,1.9235439145985622e-07,0.6315526315789474
33,1.9235439145985622e-07,0.6841736842105264
34,1.9235439145985622e-07,0.7367947368421053
35,1.9235439145985622e-07,0.7894157894736843
36,1.9235439145985622e-07,0.8420368421052632
37,1.9235439145985622e-07,0.8946578947368421
38,1.9235439145985622e-07,0.9472789473684211
39,1.9235439145985622e-07,0.9999
40,3.7000211913891527e-07,0.0001
41,3.7000211913891527e-07,0.05272105263157895
42,3.7000211913891527e-07,0.1053421052631579
43,3.7000211913891527e-07,0.15796315789473683
44,3.7000211913891527e-07,0.2105842105263158
45,3.7000211913891527e-07,0.2632052631578947
46,3.7000211913891527e-07,0.3158263157894737
47,3.7000211913891527e-07,0.36844736842105263
48,3.7000211913891527e-07,0.4210684210526316
49,3.7000211913891527e-07,0.47368947368421055
50,3.7000211913891527e-07,0.5263105263157895
51,3.7000211913891527e-07,0.5789315789473685
52,3.7000211913891527e-07,0.6315526315789474
53,3.7000211913891527e-07,0.6841736842105264
54,3.7000211913891527e-07,0.7367947368421053
55,3.7000211913891527e-07,0.7894157894736843
56,3.7000211913891527e-07,0.8420368421052632
57,3.7000211913891527e-07,0.8946578947368421
58,3.7000211913891527e-07,0.9472789473684211
59,3.7000211913891527e-07,0.9999
60,7.117153246582312e-07,0.0001
61,7.117153246582312e-07,0.05272105263157895
62,7.117153246582312e-07,0.1053421052631579
63,7.117153246582312e-07,0.15796315789473683
64,7.117153246582312e-07,0.2105842105263158
65,7.117153246582312e-07,0.2632052631578947
66,7.117153246582312e-07,0.3158263157894737
67,7.117153246582312e-07,0.36844736842105263
68,7.117153246582312e-07,0.4210684210526316
69,7.117153246582312e-07,0.47368947368421055
70,7.117153246582312e-07,0.5263105263157895
71,7.117153246582312e-07,0.5789315789473685
72,7.117153246582312e-07,0.6315526315789474
73,7.117153246582312e-07,0.6841736842105264
74,7.117153246582312e-07,0.7367947368421053
75,7.117153246582312e-07,0.7894157894736843
76,7.117153246582312e-07,0.8420368421052632
77,7.117153246582312e-07,0.8946578947368421
78,7.117153246582312e-07,0.9472789473684211
79,7.117153246582312e-07,0.9999
80,1.3690156816728806e-06,0.0001
81,1.3690156816728806e-06,0.05272105263157895
82,1.3690156816728806e-06,0.1053421052631579
83,1.3690156816728806e-06,0.15796315789473683
84,1.3690156816728806e-06,0.2105842105263158
85,1.3690156816728806e-06,0.2632052631578947
86,1.3690156816728806e-06,0.3158263157894737
87,1.3690156816728806e-06,0.36844736842105263
88,1.3690156816728806e-06,0.4210684210526316
89,1.3690156816728806e-06,0.47368947368421055
90,1.3690156816728806e-06,0.5263105263157895
91,1.3690156816728806e-06,0.5789315789473685
92,1.3690156816728806e-06,0.6315526315789474
93,1.3690156816728806e-06,0.6841736842105264
94,1.3690156816728806e-06,0.7367947368421053
95,1.3690156816728806e-06,0.7894157894736843
96,1.3690156816728806e-06,0.8420368421052632
97,1.3690156816728806e-06,0.8946578947368421
98,1.3690156816728806e-06,0.9472789473684211
99,1.3690156816728806e-06,0.9999
100,2.6333617834718715e-06,0.0001
101,2.6333617834718715e-06,0.05272105263157895
102,2.6333617834718715e-06,0.1053421052631579
103,2.6333617834718715e-06,0.15796315789473683
104,2.6333617834718715e-06,0.2105842105263158
105,2.6333617834718715e-06,0.2632052631578947
106,2.6333617834718715e-06,0.3158263157894737
107,2.6333617834718715e-06,0.36844736842105263
108,2.6333617834718715e-06,0.4210684210526316
109,2.6333617834718715e-06,0.47368947368421055
110,2.6333617834718715e-06,0.5263105263157895
111,2.6333617834718715e-06,0.5789315789473685
112,2.6333617834718715e-06,0.6315526315789474
113,2.6333617834718715e-06,0.6841736842105264
114,2.6333617834718715e-06,0.7367947368421053
115,2.6333617834718715e-06,0.7894157894736843
116,2.6333617834718715e-06,0.8420368421052632
117,2.6333617834718715e-06,0.8946578947368421
118,2.6333617834718715e-06,0.9472789473684211
119,2.6333617834718715e-06,0.9999
120,5.0653870335337245e-06,0.0001
121,5.0653870335337245e-06,0.05272105263157895
122,5.0653870335337245e-06,0.1053421052631579
123,5.0653870335337245e-06,0.15796315789473683
124,5.0653870335337245e-06,0.2105842105263158
125,5.0653870335337245e-06,0.2632052631578947
126,5.0653870335337245e-06,0.3158263157894737
127,5.0653870335337245e-06,0.36844736842105263
128,5.0653870335337245e-06,0.4210684210526316
129,5.0653870335337245e-06,0.47368947368421055
130,5.0653870335337245e-06,0.5263105263157895
131,5.0653870335337245e-06,0.5789315789473685
132,5.0653870335337245e-06,0.6315526315789474
133,5.0653870335337245e-06,0.6841736842105264
134,5.0653870335337245e-06,0.7367947368421053
135,5.0653870335337245e-06,0.7894157894736843
136,5.0653870335337245e-06,0.8420368421052632
137,5.0653870335337245e-06,0.8946578947368421
138,5.0653870335337245e-06,0.9472789473684211
139,5.0653870335337245e-06,0.9999
140,9.743494403440239e-06,0.0001
141,9.743494403440239e-06,0.05272105263157895
142,9.743494403440239e-06,0.1053421052631579
143,9.743494403440239e-06,0.15796315789473683
